Pays,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,USA,USA,USA,USA,USA,USA,USA,USA,USA
Variables,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100
1990-01-01,63.5594549666667,6.23001676666667,108.373,59.5996110333333,26.942,41.272,206.89,,,,3.15392325618783,,,,,,,,,,,,,,,,,,7.63333333333333,140.901,,59.41575,56.143,275.46825,,,,,60.062470309,,42.055748238,29.411882207,113.317452653,,,,5.05985123381007,,,,,,,,,8.07938453106795,,,,,,,,,,,,,,,,,,,16.671,,5.382,9.459,32.137,,,,,199.163,,56.785,86.128,368.384,,,,,,,57.775,65.832,305.893,,,,6.87460941185492,,,,,,,,,12.6266422603779,,,,,,,,,,,,,,,,,63.4323113996897,2.13333333333333,,62.0986295888767,,,,,,,,,,,,,,,,,,,,,,,,,,161.024,,175.108,99.651,460.822,,,63.5,7.2,15.845,58.9,5.833,5.039,27.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7333333333333,5.3,5998.058,63.2,682.3,1695.374,9358.289,,
1990-04-01,63.7865298333333,6.4645277,108.965,59.6628253,26.986,39.657,207.173,,,,3.26996866610814,,,,,,,,,,,,,,,,,,7.66666666666667,139.352,,61.57075,54.77875,274.3275,,,,,60.06922976,,43.602711911,29.49411979,113.978585321,,,,4.91484253232251,,,,,,,,,8.40923014437444,,,,,,,,,,,,,,,,,,,16.815,,5.703,8.907,31.695,,,,,199.633,,55.761,86.516,369.679,,,,,,,57.66,64.894,307.471,,,,6.9766639508114,,,,,,,,,12.7714943105851,,,,,,,,,,,,,,,,,63.516691638424,2.13333333333333,,62.1738407844441,,,,,,,,,,,,,,,,,,,,,,,,,,164.703,,181.215,88.134,465.8,,,64.1,7.7,15.887,59.2,5.974,5.006,27.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5333333333333,5.33333333333333,6016.329,63.0,690.785,1668.437,9392.251,,
1990-07-01,63.9286849,7.22537423333333,109.106,59.3097831,28.052,39.505,205.931,,,,3.41228158316816,,,,,,,,,,,,,,,,,,8.16666666666666,139.433,,61.21225,53.27875,272.3865,,,,,60.319090564,,41.188315626,29.402842321,113.561986474,,,,4.71423148484384,,,,,,,,,8.21164236794594,,,,,,,,,,,,,,,,,,,16.595,,5.42,8.596,31.023,,,,,200.218,,56.307,86.884,371.314,,,,,,,57.587,64.302,304.257,,,,7.07304757747751,,,,,,,,,12.9786155502183,,,,,,,,,,,,,,,,,63.6242259808588,2.06666666666667,,62.2882339289858,,,,,,,,,,,,,,,,,,,,,,,,,,165.587,,183.769,79.238,461.219,,,63.9,8.1,15.917,58.7,6.19,5.051,27.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4666666666667,5.7,6040.163,62.6666666666667,696.014,1659.143,9398.499,,
1990-10-01,63.6977438333333,7.86750946666667,108.421,58.6863465333333,28.496,38.098,207.139,,,,3.23916512456037,,,,,,,,,,,,,,,,,,9.13333333333333,138.98875,,59.5875,51.371,269.959,,,,,60.739437907,,41.371323077,29.166733195,113.071186992,,,,4.57732851805029,,,,,,,,,8.44195377651536,,,,,,,,,,,,,,,,,,,16.33,,5.585,8.451,30.844,,,,,201.407,,57.419,86.908,372.255,,,,,,,58.048,63.582,303.21,,,,7.17364895778562,,,,,,,,,13.3058855084788,,,,,,,,,,,,,,,,,63.716016672314,2.06666666666667,,62.3838958119856,,,,,,,,,,,,,,,,,,,,,,,,,,164.512,,193.805,80.03,473.569,,,63.9,8.9,16.192,58.2,6.233,5.086,28.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4,6.13333333333333,5994.212,62.3333333333333,702.143,1628.395,9312.937,,
1991-01-01,63.3995391333333,8.73255903333333,108.655,57.8631614,29.718,36.525,204.453,0.2323,0.3281,,3.38381744212655,,,,,,0.2023,0.3229,,,,,,,,0.1666,0.382,,10.1666666666667,136.22125,,58.3625,51.79275,266.1065,0.1425,0.5419,,,61.009592142,,42.759261654,29.335734196,113.236240645,0.196,0.3588,,5.20502795668186,314.05172,,108.56087,121.03089,557.3467,0.2624,0.235,,8.83925755542688,,,,,,0.2119,0.3252,,,,,,,,0.1815,0.3078,,,16.143,,4.992,7.925,30.224,0.2236,0.3277,,,201.232,,57.623,86.074,372.104,0.2641,0.2735,,,,,55.892,60.688,302.325,0.2823,0.2593,,7.46650316809459,,,,,,0.235,0.2974,,14.298508640832,,,,,,0.2328,0.309,,,,,,,,0.1854,0.3405,63.9206986697762,2.1,,62.5988924050633,,,,0.2086,0.2626,,,,,,,,0.2367,0.2989,,,,,,,,0.2483,0.268,,,167.113,,191.488,88.751,477.587,0.2216,0.3622,64.0,9.8,15.743,57.7,6.421,4.556,27.214,0.2164,0.3947,,,,,,,,0.2654,0.2607,,,,,,,,0.3105,0.229,,,,,,,,0.1957,0.3682,66.2333333333333,6.6,5971.672,61.9,706.434,1587.408,9269.367,0.2496,0.2931
1991-04-01,63.3824552,9.63393596666666,109.105,57.2758642333333,31.2,35.511,204.195,0.2323,0.3281,,3.44204977769664,,,,,,0.2023,0.3229,,,,,,,,0.1666,0.382,,10.3333333333333,138.513,,60.9335,51.2055,267.34725,0.1425,0.5419,,,61.357522138,,40.733505321,29.354058301,112.15416412,0.196,0.3588,,5.39442604789333,317.29763,,102.20626,122.28801,554.39617,0.2624,0.235,,9.23219928144092,,,,,,0.2119,0.3252,,,,,,,,0.1815,0.3078,,,16.175,,4.722,7.588,29.875,0.2236,0.3277,,,201.42,,59.222,86.448,373.362,0.2641,0.2735,,,,,57.74,59.78,301.943,0.2823,0.2593,,7.59576988785855,,,,,,0.235,0.2974,,14.6257361301186,,,,,,0.2328,0.309,,,,,,,,0.1854,0.3405,64.023731112356,2.1,,62.6831832818558,,,,0.2086,0.2626,,,,,,,,0.2367,0.2989,,,,,,,,0.2483,0.268,,,165.095,,195.463,82.227,480.085,0.2216,0.3622,64.0,10.5,15.516,57.3,6.56,4.056,26.945,0.2164,0.3947,,,,,,,,0.2654,0.2607,,,,,,,,0.3105,0.229,,,,,,,,0.1957,0.3682,66.2666666666667,6.83333333333333,6021.163,61.7666666666667,732.19,1596.569,9341.642,0.2496,0.2931
1991-07-01,62.9255337,9.83714746666666,110.397,56.7353096333333,31.9,35.837,205.034,0.2323,0.3281,,3.58801037215482,,,,,,0.2023,0.3229,,,,,,,,0.1666,0.382,,10.4333333333333,138.454,,63.2585,51.36525,267.70525,0.1425,0.5419,,,61.395392997,,40.952616552,28.768037935,112.154298994,0.196,0.3588,,5.90834794538491,311.48704,,107.21186,123.03014,553.26133,0.2624,0.235,,9.00754023639433,,,,,,0.2119,0.3252,,,,,,,,0.1815,0.3078,,,16.212,,5.348,7.156,29.268,0.2236,0.3277,,,201.063,,60.904,86.281,374.567,0.2641,0.2735,,,,,58.625,58.687,301.285,0.2823,0.2593,,7.71518223441033,,,,,,0.235,0.2974,,14.8414782207899,,,,,,0.2328,0.309,,,,,,,,0.1854,0.3405,64.1496625151303,2.1,,62.7732441910006,,,,0.2086,0.2626,,,,,,,,0.2367,0.2989,,,,,,,,0.2483,0.268,,,168.467,,194.019,93.321,478.912,0.2216,0.3622,63.9,11.2,15.59,56.8,6.831,4.146,27.223,0.2164,0.3947,,,,,,,,0.2654,0.2607,,,,,,,,0.3105,0.229,,,,,,,,0.1957,0.3682,66.1,6.86666666666667,6051.184,61.5666666666667,749.521,1596.484,9388.845,0.2496,0.2931
1991-10-01,62.7856758,10.2196774666667,110.577,56.3689818,32.014,35.843,205.172,0.2323,0.3281,,3.61347404813529,,,,,,0.2023,0.3229,,,,,,,,0.1666,0.382,,10.3333333333333,139.263,,63.154,52.085,268.19925,0.1425,0.5419,,,61.803692028,,41.075965865,27.800237415,112.55237384,0.196,0.3588,,6.05918964457802,317.81857,,107.49585,126.3471,560.44854,0.2624,0.235,,9.20245879762279,,,,,,0.2119,0.3252,,,,,,,,0.1815,0.3078,,,15.885,,5.285,6.753,28.929,0.2236,0.3277,,,202.02,,62.201,85.704,376.16,0.2641,0.2735,,,,,58.445,58.902,301.811,0.2823,0.2593,,7.82470034293074,,,,,,0.235,0.2974,,14.973575541911,,,,,,0.2328,0.309,,,,,,,,0.1854,0.3405,64.14780828568,2.06666666666667,,62.8132155708211,,,,0.2086,0.2626,,,,,,,,0.2367,0.2989,,,,,,,,0.2483,0.268,,,167.789,,196.891,82.992,482.424,0.2216,0.3622,63.4,11.0,15.523,56.4,7.022,4.176,27.247,0.2164,0.3947,,,,,,,,0.2654,0.2607,,,,,,,,0.3105,0.229,,,,,,,,0.1957,0.3682,66.0666666666667,7.1,6048.156,61.3666666666667,766.393,1597.712,9421.565,0.2496,0.2931
1992-01-01,62.9284980666667,10.4166079666667,111.731,56.3735077,31.783,35.865,206.707,0.2345,0.3278,,3.39248073723616,,,,,,0.2096,0.3202,,,,,,,,0.1594,0.3926,,10.6,139.307,,63.684,51.72325,268.39475,0.1425,0.5419,,,61.756651664,,43.192520669,27.185607213,113.402165949,0.19,0.3653,,6.43229268815766,321.20486,,108.58731,130.08813,568.90282,0.2584,0.2341,,8.81665894938532,,,,,,0.2112,0.3212,,,,,,,,0.1755,0.3207,,,15.609,,5.499,6.642,29.014,0.2173,0.3352,,,202.389,,63.679,86.314,380.013,0.2642,0.2744,,,,,59.091,59.061,301.831,0.283,0.2574,,8.44324167456609,,,,,,0.2342,0.2937,,14.881008031244,,,,,,0.236,0.3049,,,,,,,,0.1874,0.3383,64.2723977680438,2.06666666666667,,62.9356721332855,,,,0.2076,0.2665,,,,,,,,0.2302,0.309,,,,,,,,0.242,0.2709,,,169.041,,205.227,73.364,492.683,0.2222,0.3613,63.6,11.0,15.628,56.7,6.713,4.34,27.379,0.2301,0.3542,,,,,,,,0.2653,0.2576,,,,,,,,0.3095,0.238,,,,,,,,0.1978,0.3636,66.3,7.36666666666667,6161.398,61.4333333333333,780.24,1619.962,9534.346,0.2524,0.2856
